colonna,range,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_2,3.30-3.35,3.3000000000000016,3.3500000000000023,41,0.6829268292682927,-5.159999999999999,-12.585365853658534,1.4642857142857142
odd_2,2.90-2.95,2.9000000000000012,2.9500000000000015,53,0.6792452830188679,-6.919999999999998,-13.056603773584902,1.4722222222222223
odd_2,1.80-1.85,1.8000000000000005,1.8500000000000005,30,0.6666666666666666,-4.3999999999999995,-14.666666666666664,1.5
spread_fav_dog,1.05-1.10,1.05,1.1,54,0.6666666666666666,-7.919999999999998,-14.666666666666664,1.5
odd_2,1.90-1.95,1.9000000000000006,1.9500000000000006,36,0.6666666666666666,-5.279999999999999,-14.666666666666664,1.5
odd_2,4.15-4.20,4.150000000000003,4.200000000000003,33,0.6666666666666666,-4.84,-14.666666666666666,1.5
spread_fav_dog,1.25-1.30,1.2500000000000002,1.3000000000000003,63,0.6507936507936508,-10.52,-16.6984126984127,1.5365853658536586
odd_dog,3.80-3.85,3.799999999999997,3.849999999999997,55,0.6363636363636364,-10.2,-18.545454545454547,1.5714285714285714
odd_2,3.70-3.75,3.700000000000002,3.7500000000000027,30,0.6333333333333333,-5.68,-18.933333333333334,1.5789473684210527
odd_2,3.75-3.80,3.7500000000000027,3.8000000000000025,42,0.5714285714285714,-11.28,-26.857142857142858,1.75
